CTY_NAME,Latitude,Longitude,Geographic Area Name (Grouping),2010 Pop Actual,2011 Pop Estimate,2012 Pop Estimate,2013 Pop Estimate,2014 Pop Estimate,2015 Pop Estimate,2016 Pop Estimate,2017 Pop Estimate,2018 Pop Estimate,2019 Pop Estimate
Lake of the Woods,48.773696,-94.90205,"Lake of the Woods County, Minnesota",4035,4011,3947,3910,3889,3868,3781,3727,3737,3740
Kittson,48.777316,-96.781244,"Kittson County, Minnesota",4553,4540,4497,4498,4455,4409,4320,4261,4268,4298
Roseau,48.775408,-95.809702,"Roseau County, Minnesota",15558,15517,15512,15497,15680,15621,15557,15305,15158,15165
Koochiching,48.245463,-93.779271,"Koochiching County, Minnesota",13315,13235,13163,13088,12847,12797,12610,12506,12431,12229
Marshall,48.35939,-96.370171,"Marshall County, Minnesota",9441,9459,9471,9430,9420,9409,9369,9361,9383,9336
St. Louis,47.597542,-92.468291,"St. Louis County, Minnesota",200138,200412,200361,200452,200651,200296,199967,199778,199685,199070
Beltrami,47.972724,-94.936023,"Beltrami County, Minnesota",44572,45052,45147,45487,45636,45605,46008,46477,46735,47188
Polk,47.630049,-96.330557,"Polk County, Minnesota",31639,31540,31511,31639,31496,31497,31698,31637,31411,31364
Pennington,48.067259,-96.03216,"Pennington County, Minnesota",13968,14070,14119,14139,14111,14237,14206,14178,14173,14119
Cook,47.900759,-90.535406,"Cook County, Minnesota",5161,5209,5180,5186,5244,5245,5338,5411,5425,5463
Lake,47.63633,-91.448388,"Lake County, Minnesota",10854,10779,10792,10706,10602,10541,10514,10493,10610,10641
Clearwater,47.578083,-95.377986,"Clearwater County, Minnesota",8705,8721,8677,8783,8791,8797,8831,8845,8815,8818
Red Lake,47.8724,-96.095561,"Red Lake County, Minnesota",4079,4084,4060,4031,3996,4031,3987,4009,3992,4055
Itasca,47.509219,-93.631741,"Itasca County, Minnesota",45037,45105,45152,45335,45328,45267,45168,45088,45051,45130
Norman,47.326519,-96.456111,"Norman County, Minnesota",6833,6806,6599,6596,6581,6621,6534,6589,6479,6375
